l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 CALL_CHECKBOX_ALLY:0 "§RВи не можете оголосити державу, з якою ви перебуваєте в союзі, союзником у війні.§!"
 HAS_GREAT_PROJECT_OF_TYPE:0 "Є $NAME|Y$"
 HAS_NOT_GREAT_PROJECT_OF_TYPE:0 "Відсутній $NAME|Y$"
 HAS_A_GREAT_PROJECT:0 "Є §Yвеликий проєкт§!"
 HAS_NOT_A_GREAT_PROJECT:0 "Відсутній §Yвеликий проєкт§!"
 AT_TIER:0 "на §Y$TIER$ рівні§!"
 COT_DOWNGRADE_NOT_OWNER:0 "§RВи не можете знизити статус центру торгівлі провінції, якою ви не володієте!§!"
 CANNOT_CONVERT_TO_PRIMITIVE:0 "YВи не можете змусити державу стати примітивною."
 ANCESTORS:0 "Предки"
 PICK_ANCESTOR:0 "Обрати предка"
 NO_POTENTIAL_ANCESTOR:0 "У вас немає потенційних предків на вибір."
 PICK_ANCESTOR_DESC:0 "Додавання попереднього монарха до нашої історії предків коштує дипломатичних балів, але може додати корисних ефектів для нашої держави."
 CLICK_TO_PICK_ANCESTOR:0 "Клацніть, щоб обрати $WHO|Y$ своїм предком."
 CANNOT_CARPET_SIEGE_NO_AVAILABLE_PROVINCES:0 "Нема доступних провінцій для облоги."
 SELECT_CARPET_AREA:0 "Клацніть, щоб обрати область $AREA|Y$ для килимової облоги."
 CANNOT_PROVINCE_IS_BEING_PILLAGED:0 "Провінцію $PROVINCE|Y$ вже пограбовано."
 MAY_BUILD_FLAGSHIPS:0 "Можна будувати флагмани"
 MAY_BUILD_FLAGSHIPS_SHORT:0 "Будівництво флагманів"
 FREE_MERCHANT_DESC:0 "Ваші торговці можуть бути використані для перенаправлення торгівлі з торгових вузлів, де у вас є торговий вплив, в будь-якому напрямку за вашим вибором або для отримання доходу з вашого домашнього торгового вузла. Зараз у вас є незайняті торговці, виберіть торговий вузол і призначте там завдання своїм торговцям, щоб скористатися їхніми навичками."
 REGENCY_ENDING_DESC:0 "Якщо ваш спадкоємець готовий і має хороші претензії, ви повинні дозволити йому зійти на трон, коли регентство закінчиться. Якщо ні, ви можете продовжити регентство ще на п'ять років через інтерфейс двора.\nКлацніть, щоб переглянути свій двір.\n\nПоточна сила претензій: $CLAIM$"
 CANNOT_CONVERT_NOT_RELIGION_OR_SECONDARY_RELIGION:0 "Провінція $NAME$ не сповідає §Y$RELIGION$§! або §Y$SECONDARYRELIGION$§!, тому змінити культуру неможливо. Спочатку надішліть кількох місіонерів."
 NO_GARRISON:0 "Тут нема гарнізону."
 PILLAGE_CAPITAL_CANNOT_NO_DEV:0 "Їхня столиця надто бідна, щоб її пограбувати."
 NO_FEDERATION_TEXT:0 "Ви не є членом федерації."
 NO_CURR_ESTATES_TT:0 "Наразі у вас нема жодних станів."
 FEDERATION_ADVANCEMENT_TITLE:0 "Нове покращення федерації"
 FEDERATION_ADVANCEMENT_SETUP:0 "Коли федерація, в якій ви перебуваєте, отримує нове покращення."
 FEDERATION_ADVANCEMENT_HEADER:0 "Нове покращення федерації"
 FEDERATION_ADVANCEMENT_1:0 "Держава $WHO|Y$"
 FEDERATION_ADVANCEMENT_2:0 "вирішила додати покращення"
 FEDERATION_ADVANCEMENT_3:0 "$ADVANCEMENT|Y$"
 FEDERATION_ADVANCEMENT_4:0 "до федерації $FEDERATION|Y$."
 FEDERATION_ADVANCEMENT_6:0 "Це приголомшливі новини!"
 FEDERATION_ADVANCEMENT_LOG:0 "Держава $WHO$ покращила свою федерацію."
 FEDERATION_ADVANCEMENT_BTN1:0 "Приємно"
 FEDERATION_ADVANCEMENT_BTN2:0 "Чудово"
 FEDERATION_ADVANCEMENT_BTN3:0 "Перейти"
 FEDERATION_LEADER_CULTURE:0 "Їхня культура - $CULTURE|Y$."
 FEDERATION_CURRENT_MEMBERS_ARE:0 "Нинішні члени: $MEMBERS$"
 FEDERATION_NO_CURRENT_MEMBERS:0 "Зараз нема дійсних членів, це буде нова федерація."
 UPGRADE_GREAT_PROJECT_COST:0 "Почати покращення $TYPE$ $NAME|Y$ за $COST|Y$¤."
 ALL_OTHER_TREATIES_COST:0 "$COST$ вартість усіх інших договорів."
 CENTRE_OF_TRADE_UPGRADE:0 "Покращення центру торгівлі"
 CANNOT_CONSOLIDATE_DEV_STATE:0 "Ви можете концентрувати розвиток тільки на своїх територіях, а не на володіннях"
 RELEASE_CULTURE:0 "Їхньою культурою буде §Y$CULTURE$§!."
 CALL_CHECKBOX_WILL_CALL_SUBJECT:0 "Держава §Y$COUNTRY$§!, як $SUBJECTTYPE$, буде покликана у вашу війну проти держави §Y$TARGET$§!."
 CALL_CHECKBOX_WILL_NOT_CALL_SUBJECT:0 "Держава §Y$COUNTRY$§!, як $SUBJECTTYPE$, НЕ буде покликана у вашу війну проти держави §Y$TARGET$§!."
 HAVE_EXTENDED_REGENCY:0 "Має розширене регентство"
 HAVENT_EXTENDED_REGENCY:0 "Не має розширене регентство"
 CANT_BUILD_FLAGSHIP_NO_TECH:0 "Ваш рівень технологій не дозволяє вам побудувати флагман."
 estate_bribe:0 "Заспокоїти стан $ESTATE$"
 should_migrate_instant:0 "Плем'я має мігрувати"
 should_migrate_delayed:0 "Розруха вашої столиці стає занадто високою, і вам слід подумати про переселення в одну з наступних провінцій:\n$LIST$"
 STATE_INCOME_DEDUCTIONS:0 "...та наступні відрахування на утримання держави:"
 PATRIARCH_MAP_TT_CANT:0 "$NAME|Y$ не може стати митрополією."
 CANNOT_FORCE_TRIBUTARY_SUBJECT_TYPE_DOESNT_ALLOW:0 "Держава $TAKER|Y$ - $SUBJECTTYPE|Y$, що означає, що вона сама не може мати суб'єктів."
 CONFIRM_CONSOLIDATE_DEVELOPMENT_TEXT_FOR_ANOTHER:0 "Спрямувати розвиток з області $NAME$ до держави $ACTUALTAKER$. Ця область втратить $DEVELOPMENT|Y$ розвитку. Значна частина втраченого розвитку потрапить до $ACTUALTAKERADJ$ої столиці, частина буде розподілена між іншими володіннями, частина буде втрачена. У підсумку, вони отримають $DEVGAINED|Y$ розвитку."
 CANNOT_PILLAGE_NOTHING_TO_PILLAGE:0 "Там грабувати особливо нічого."
 CANNOT_CENCENTRATE_DEVELOPMENT_NOTHING_TO_TAKE:0 "Тут недостатньо розвитку, щоб щось собі взяти."
 REDUCE_OPINION_CANNOT_FEDERATION:0 "Ми знаходимося в тій же федерації, що й держава $WHOM$."
 REDUCE_OPINION_CANNOT_TRADE_LEAGUE:0 "Ми знаходимося в тій же торговій лізі, що й держава $WHOM$."
 CONFIRM_STOP_DRILLING_TITLE:0 "Підтвердьте припинення вишкілу."
 CONFIRM_STOP_DRILLING_TEXT:0 "Ви впевнені, що хочете припинити вишкіл і приєднати війська до армії $ARMY$?"
 FROM_INSUFFICIENT_SUPPORT:0 "Через недостатню підтримку: §R$VALUE$§W"
 gave_away_province:0 "Віддали нашу провінцію"
 SUPPORT_REBELS_POWER_PROJECTION:0 "Оскільки держава $WHO|Y$ є нашим суперником, ви отримаєте $VALUE|Y$ могутності."
 LONG_EU3_DATE_STRING:0 "$DD$ $MONTH$ $YYYY$"
 EU3_DATE_STRING:0 "$YYYY$.$MM$.$DD$"
 DASH_EU3_DATE_STRING:0 "$YYYY$_$MM$_$DD$"
 SET_ALL_MESSAGES_TO_POPUP:0 "Клацніть, щоб встановити показ всіх типів повідомлень як спливаючі вікна."
 SET_ALL_MESSAGES_TO_LOG:0 "Клацніть, щоб встановити показ всіх типів повідомлень у журналі."
 SET_ALL_MESSAGES_TO_ONMAP:0 "Клацніть, щоб встановити показ всіх типів повідомлень на мапі (якщо можна застосувати)."
 SET_ALL_MESSAGES_TO_ICON:0 "Клацніть, щоб встановити показ всіх типів повідомлень як значка повідомлення (якщо можна застосувати)."
 SET_ALL_MESSAGES_TO_POPUPPAUSE:0 "Клацніть, щоб встановити показ всіх типів повідомлень у спливаючому вікні та призупинити гру."
 SET_ALL_MESSAGES_TO_NOT_POPUP:0 "Клацніть, щоб заборонити показ всіх типів повідомлень у спливаючих вікнах."
 SET_ALL_MESSAGES_TO_NOT_LOG:0 "Клацніть, щоб заборонити показ всіх типів повідомлень в журналі."
 SET_ALL_MESSAGES_TO_NOT_ONMAP:0 "Клацніть, щоб заборонити показ всіх типів повідомлень на мапі (якщо можна застосувати)."
 SET_ALL_MESSAGES_TO_NOT_ICON:0 "Клацніть, щоб заборонити показ всіх типів повідомлень як значка повідомлення (якщо можна застосувати)."
 SET_ALL_MESSAGES_TO_NOT_POPUPPAUSE:0 "Клацніть, щоб заборонити показ всіх типів повідомлень як спливаючого вікна та призупинити гру."
 can_become_hegemon_instant:0 "§YВи можете претендувати на гегемонію!§!"
 can_become_hegemon_type:0 "Ви можете претендувати на статус $TYPE|Y$."
 ESTATE_AGENDA_TASK_FAIL_CRITERIA:0 "Не вдасться, якщо будуть виконані такі умови:\n$CONDITIONS$\n\n"
 CLOSE_MACROBUILDER_TO_USE:0 "Ви не можете отримати доступ до користувацьких режимів мапи, коли відкритий макроконструктор. Закрийте макроконструктор, щоб знову ввімкнути їх."
 KNOWLEDGE_SHARING_ECOVIEW:0 "Обмін знаннями"
 TRADE_FAVORS_FOR_GOLD_DIPLO_ACTION:0 "Обмін прихильності на дукати"
 TRADE_FAVORS_FOR_MEN_DIPLO_ACTION:0 "Обмін прихильності на рекрутів"
 TRADE_FAVORS_FOR_SAILORS_DIPLO_ACTION:0 "Обмін прихильності на моряків"
 TRADE_FAVORS_FOR_HEIR_DIPLO_ACTION:0 "Прохання про призначення родича спадкоємцем"
 TRADE_FAVORS_FOR_TRUST_DIPLO_ACTION:0 "Обмін прихильності на довіру"
 TRADE_FAVORS_FOR_WAR_PREP_DIPLO_ACTION:0 "Прохання про підготовку до війни"
 MERCENARY_MANPOWER_TOOLTIP:0 "Швидкість поповнення рекрутів: $AMOUNT|Y$ щомісяця"
 regent_female:0 "Регентша"
 CONVREL_KINGFORCED_DATE:0 "Ми були змушені змінити релігію і не можемо змінити її принаймні до $DATE$."
 CONFIRM_SETTLE:0 "Заселити"
 SECEDE_PROV_REDUCE_OPINION_AND_TRUST:0 "Держава $ACTUALGIVER|Y$ змінить свою думку про державу $NEGOTIATORGIVER|Y$ на $OPINION|R$ і змінить довіру на $TRUST|R$."
 HAS_OR_BUILDING_FLAGSHIP:0 "Держава має або будує флагман"
 HAS_NOT_OR_BUILDING_FLAGSHIP:0 "Держава не має флагмана і не будує його"
 GREAT_PROJECT_CANNOT_BE_MOVED:0 "Споруду $GREATPROJECT|Y$ неможливо перемістити, вона надто велика."
 CLAIM_STRENGTH_TOOLTIP:0 "$NAME|Y$ має силу претензії $VAL|Y$. Це значення стане його легітимністю, коли він зійде на трон."
 CLAIM_STRENGTH_INCREASE_TOOLTIP:0 "Сила претензії щомісяця збільшується на $AMOUNT|Y$."
 MOVE_GREAT_PROJECT_EXPLANATION:0 "Переміщення споруди $GREATPROJECT|Y$ до вашої столиці коштуватиме $CASH|Y$¤. Ця величина розрахована виходячи з відстані ($DIST$), розрахункового терміну в $DAYS$ днів для подолання кожної одиниці відстані, помноженої на вартість одного дня переміщення ($COSTPERDAY$¤)."
 TRADE_FAVORS_FOR_HEIR_CANNOT_DYNASTY_LOCKED:0 "Держава §Y$COUNTRY$§! не може мати спадкоємця з іншої династії."
 TRADE_FAVORS_FOR_HEIR_CANNOT_STATES_GENERAL:0 "Держава §Y$COUNTRY$§! не може мати спадкоємця з механикою $LEFT$ або $RIGHT$."
 CANNOT_EXTEND_REGENCY_NO_HEIR:0 "Ви не можете продовжити регентство, якщо немає спадкоємця. Регентство автоматично завершиться, коли це буде можливо."
 COHESION_NO_NEIGHBOURING_COLONIZER:0 "Нема колонізаторів по сусідству з федерацією: $VALUE|+=1$\n"
 COHESION_FEDERATION_NO_MEMBER_STRONGER:0 "Жоден член федерації не сильніший за лідера федерації: $VALUE|+=1$\n"
 COHESION_DESC:0 "Згуртованість федерації збільшується, коли члени федерації належать до тієї ж культури або культурної групи, що і лідер, а також завдяки більш просунутим сусідам-колонізаторам. Вона зменшується якщо держави-члени федерації сильніше лідера, а також з кожним новим покращенням."
 pillaged_a_state_for_us:0 "Пограбував державу для нас"
 PAL_REVOLUTIONARY_NAME:0 "Революційний Пфальц"
 PAL_REVOLUTIONARY_SHORT_NAME:0 "Рев. Пфальц"
 PAP_REVOLUTIONARY_NAME:0 "Революційна Папська область"
 PAP_REVOLUTIONARY_SHORT_NAME:0 "Рев. Папська область"
 KNI_REVOLUTIONARY_NAME:0 "Революційні Госпітальєри"
 KNI_REVOLUTIONARY_SHORT_NAME:0 "Рев. Госпітальєри"
 LOI_REVOLUTIONARY_NAME:0 "Революційні острови"
 LOI_REVOLUTIONARY_SHORT_NAME:0 "Рев. острови"
 colonial_core:0 "Colonial Core"
 RECOMMENDED_DLCS:0 "Рекомендовані DLC"
 RECOMMENDED_COUNTRIES:0 "Рекомендовані держави"
 DLC_FEATURES:0 "Особливості"
 DLC_DESCRIPTION:0 "Опис"
 CANNOT_MOVE_GREAT_PROJECT_TOO_BIG:0 "Будівля $GREATPROJECT$ надто велика для переміщення."
 NO_REBELS_TO_SUPPORT:0 "У цій країні нема повстанців, готових отримати нашу підтримку."
 AGGRESSIVE_EXPANSION_PRIMITIVES:0 "Примітиви"
 LEAVE_FEDERATION_DESC:0 "Вийти з федерації."
 INVITE_TO_JOIN_FEDERATION_DESC:0 "Запросити приєднатися до федерації."
 KICK_FROM_FEDERATION_DESC:0 "Викинути з федерації."
 REQUEST_JOIN_ALREADY_LEADER:0 "Держава $WHO|Y$ вже є лідером федерації."
 ENEMY_INVASION_IMMINENT_NEAR:0 "$UNIT|Y$ біля $PLACE|Y$"
 FEDERATION_DESIRABILITY_ALREADY_LEADER_OF_DIFFERENT_FEDERATION:0 "Держава $WHO|Y$ вже є лідером федерації $FEDERATION|Y$."
 FEDERATION_DESIRABILITY_STRONGER_THAN_LEADER:0 "Держава $WHO|Y$ сильніша за лідера федерації $LEADER|Y$."
 FEDERATION_DESIRABILITY_DESIRE_TO_STAY_PUT:0 "Бажання залишитися в федерації $FEDNAME$: "
 LOSE_HEGEMON_STATUS:0 "Держава $WHO|Y$ втратить свій статус гегемона."
 ANCESTOR_LEVEL_MOD:0 "Предок $NAME$ $PERSONALITY$"
 ANCESTOR_LEVEL_BONUS:0 "Рівень бонуса предка $NAME$"
 FEDERATION_DESIRABILITY_DONT_WANT_TO_CHANGE:0 "Вся ця паперова тяганина зі зміною федерації: "
 NO_TRADE_COMPANIES:0 "Нема торгових компаній"
 CURRENT_GURU:0 "Теперішній гуру"
 NEXT_GURU:0 "Наступний гуру"
 CURRENT_GURU_DESC:0 "Наразі $NAME$ надає вашій державі такі переваги:\n\n$EFFECTS$"
 NEXT_GURU_DESC:1 "Коли нинішній гуру піде у відставку, $NAME$ замінить його. Коли він стане гуру, ваша держава отримає такі переваги:\n\n$EFFECTS$"
 PICK_TEACHING_DESC:0 "Додати вчення, що надає постійний вплив на вашу державу за кілька балів монарха."
 IF_CONDITIONS_MET:0 "Якщо виконані наступні умови:"
 THEN_THIS:0 "...тоді відбудуться такі ефекти:"
 FEDERATION_COOLDOWN:0 "$COUNTRY$ може приєднатися до федерації лише раз на $YEARS|Y$ років.\nВони зможуть зробити це знову $UNTIL|Y$."
 FEDERATION_LEADER_OPINION:0 "Негативна думка про лідера федерації: "
 COHESION_FEDERATION_MEMBER_STRONGER_WRONG_CULTURE:0 "Плем'я $NAME|Y$ сильніше лідера федерації та належить до іншої культури: $VALUE|+=1$\n"
 COHESION_FEDERATION_SAME_CULTURE_MEMBERS_BONUS:0 "Бонус для $NUM$ представників тієї ж культури, що і лідер: $VAL$\n"
 IS_ALREADY_ANCESTOR_PERSONALITY:0 "Ми вже почитаємо предка з рисою $PERSONALITY|Y$."
 COLONY_CHANGES:0 "Зміни в колонії"
 GOODS_CHANGE_RANDOM:0 "Нові товари тепер будуть вироблятися в провінції $WHERE|Y$.\n"
 COUNTRY_MISSION_OTHER:0 "Ця місія доступна лише для держави $COUNTRY$."
 CULTURE_ALREADY_SELECTED:0 "Культура $CULTURE|Y$ вже обрана"
 SELECT_CULTURE_DESIGNER:0 "Обрати культуру $CULTURE|Y$ своєю основною культурою"
 CANNOT_CONCENTRATE_DEVELOPMENT_WRONG_SUBJECT_TYPE:0 "Суб'єкти $SUBJECTTYPE|Y$  не можуть концентрувати свій розвиток"
 SELECT_EDICT_FOR_PROVINCE:0 "Виберіть едикт для провінції $PROVINCE$:"
 IF_COLONY_SIZE_IS_X:0 "Якщо колонія має принаймні $SIZE|Y$ провінції:"
 active_religious_turmoil:0 "Релігійні потрясіння"
 CONTINUE_BUTTON_STATS:0 "Повернутися до гри"
 CONDOTTIERI_OFFER_ALLIANCE:0 "§R- Ви не можете здавати кондотьєрів в оренду країні, яка воює з державою, з якою у вас є союз.§!"
 HAVE_CONDOTTIERI_WITH:0 "Ви не можете укласти союз з державою, з якою воюють ваші кондотьєри."
 CANNOT_BUILD_SUPPLY_DEPOT_AT_SEA:0 "Було б божевіллям скинути склад постачання у море."
 CANNOT_AFFORD_GURU_COST:0 "Ви не можете дозволити собі витратити $POW|Y$ $TYPE$ балів, необхідних для для цього вчення."
 CANNOT_PICK_TEACHING_NEW_GURU:0 "Ви не можете вибрати більше одного вчення від кожного гуру."
 GURU_APPOINTED:0 "$GURU|Y$ стає гуру."
 NEW_GURU_SETUP:0 "Коли призначається новий гуру."
 NEW_GURU_HEADER:0 "$MESSENGER$"
 NEW_GURU_1:0 "Новий гуру"
 NEW_GURU_2:0 "$GURU|Y$ був призначений новим гуру."
 NEW_GURU_3:0 "Він приносить такі ефекти:"
 NEW_GURU_4:0 "$EFFECTS$."
 NEW_GURU_LOG:0 "Призначено нового гуру."
 NEW_GURU_BTN1:0 "Гаразд"
 NEW_GURU_BTN2:0 "Гаразд"
 NEW_GURU_BTN3:0 "Гаразд"
 NO_GURU_SETUP:0 "Коли нема гуру."
 NO_GURU_HEADER:0 "$MESSENGER$"
 NO_GURU_1:0 "Нема гуру"
 NO_GURU_2:0 "Нашій релігії бракує гуру."
 NO_GURU_LOG:0 "Гуру не призначено."
 NO_GURU_BTN1:0 "Гаразд"
 NO_GURU_BTN2:0 "Гаразд"
 NO_GURU_BTN3:0 "Гаразд"
 EXTEND_REGENCY_IMPERIAL_AUTHORITY_HIT:0 "Оскільки ви - Імператор, ви також зазнаєте скорочення імперського авторитету на $IAHIT|Y$."
 ABDICATE_PERFORM_IRO2_NEITHER:0 "Внаслідок цієї дії престиж зменшиться на $PRESTIGE_HIT|R$."
 BREAK_ALLIANCE_COOLDOWN:0 "Ми можемо попросити союзника розірвати союз тільки раз на $YEARS|Y$ років.\nВони зможуть зробити це знову $UNTIL|Y$."
 TRADE_FAVORS_FOR_GOLD_COOLDOWN:0 "Держава $COUNTRY$ може попросити союзника обміняти прихильність на золото тільки раз на $YEARS|Y$ years.\nВони зможуть зробити це знову $UNTIL|Y$."
 TRADE_FAVORS_FOR_MANPOWER_COOLDOWN:0 "Держава $COUNTRY$ може попросити союзника обміняти прихильність на рекрутів тільки раз на $YEARS|Y$ років.\nВони зможуть зробити це знову $UNTIL|Y$."
 TRADE_FAVORS_FOR_SAILORS_COOLDOWN:0 "Держава $COUNTRY$ може попросити союзника обміняти прихильність на моряків тільки раз на $YEARS|Y$ років.\nВони зможуть зробити це знову $UNTIL|Y$."
 REDUCE_RELATIONS_COOLDOWN:0 "Держава $COUNTRY$ може попросити союзника погіршити відносини з іншою країною лише раз на $YEARS|Y$ років.\nВони зможуть зробити це знову $UNTIL|Y$."
 DIPLO_SAILORS:0 "Моряки держави $WHO$: "
 DIPLO_LOW_SAILORS:0 "Держава $WHO$ має мало моряків: "
 DIPLO_RELATIVE_OPINION:0 "Відносна думка держави $WHO$ щодо країн $COUNTRY01$ та $COUNTRY02$: "
 ENFORCE_PEACE_CANNOT_LEAGUE_WAR:0 "Ви не можете примусити до миру в війні релігійних ліг."
 CANNOT_MOVE_ALREADY_IN_PROGRESS:0 "Споруда $GREATPROJECT|Y$ вже переміщається до провінції $PROVINCE|Y$"
 CANNOT_EXTEND_REGENCY_TOO_FAR_IN_FUTURE:0 "Регентство триватиме до $DATE$, ппочекайте доки не залишиться менше ніж рік, щоб мати можливість його продовжити."
 HAS_REFORM_ON_LEVEL:0 "Є державна реформа $LEVEL|Y$ рівня.\n"
 HAS_NOT_REFORM_ON_LEVEL:1 "Нема державної реформи $LEVEL|Y$ рівня.\n"
 CURRENT_GURU_IS:0 "Теперішній гуру "
 CURRENT_GURU_IS_NOT:0 "Теперішній гуру НЕ "
 CHANGE_TRIBAL_OWNER_EFFECT:0 "Плем'я $WHO|Y$ визнає $WHERE|Y$ своєю племінною землею.\n"
 mechanic_enable_settled_mechanics_no:0 "Не можна заселитися на племінній землі"
 mechanic_enable_tribal_grazing_yes:0 "Можна вести осілість, підвищуючи спустошення"
 PROVINCE197CATALAN:0 "Rosselló"
 PROVINCE208CATALAN:0 "Lleó"
 PROVINCE221CATALAN:0 "Múrcia"
 PROVINCE224CATALAN:0 "Sibília"
 PROVINCE225CATALAN:0 "Còrdova"
 PROVINCE366CATALAN:0 "Gran Canària"
 PROVINCE1745CATALAN:0 "Cantàbria"
 PROVINCE1747CATALAN:0 "Càceres"
 PROVINCE2755CATALAN:0 "Sòria"
 PROVINCE4546CATALAN:0 "Màlaga"
 PROVINCE4551CATALAN:0 "Àvila"
 PROVINCE4552CATALAN:0 "Palència"
 PROVINCE4788CATALAN:0 "Plasència"
 PROVINCE4789CATALAN:0 "Segòvia"
 PROVINCE14CATALAN:0 "Fiònia"
 PROVINCE50CATALAN:0 "Berlín"
 PROVINCE78CATALAN:0 "Magúncia"
 PROVINCE80CATALAN:0 "Trèveris"
 PROVINCE82CATALAN:0 "Westfàlia"
 PROVINCE85CATALAN:0 "Colònia"
 PROVINCE92CATALAN:0 "Brussel·les"
 PROVINCE101CATALAN:0 "Gènova"
 PROVINCE102CATALAN:0 "Niça"
 PROVINCE103CATALAN:0 "Torí"
 PROVINCE104CATALAN:0 "Milà"
 PROVINCE106CATALAN:0 "Mòdena"
 PROVINCE109CATALAN:0 "Màntua"
 PROVINCE111CATALAN:0 "Friül"
 PROVINCE112CATALAN:0 "Venècia"
 PROVINCE116CATALAN:0 "Florença"
 PROVINCE120CATALAN:0 "Abruços"
 PROVINCE121CATALAN:0 "Nàpols"
 PROVINCE123CATALAN:0 "Calàbria"
 PROVINCE127CATALAN:0 "Sàsser"
 PROVINCE132CATALAN:0 "Estíria"
 PROVINCE142CATALAN:0 "Corfú"
 PROVINCE160CATALAN:0 "Oltènia"
 PROVINCE169CATALAN:0 "Armòrica"
 PROVINCE183CATALAN:0 "París"
 PROVINCE184CATALAN:0 "Orleanès"
 PROVINCE185CATALAN:0 "Llemosí"
 PROVINCE190CATALAN:0 "Borbonès"
 PROVINCE191CATALAN:0 "Nivernès"
 PROVINCE192CATALAN:0 "Dijonès"
 PROVINCE199CATALAN:0 "Alvèrnia"
 PROVINCE202CATALAN:0 "Avinyó"
 PROVINCE203CATALAN:0 "Lionès"
 PROVINCE205CATALAN:0 "Chambèri"
 PROVINCE247CATALAN:0 "Cúmbria"
 PROVINCE257CATALAN:0 "Varsòvia"
 PROVINCE262CATALAN:0 "Cracòvia"
 PROVINCE269CATALAN:0 "Podlàquia"
 PROVINCE279CATALAN:0 "Volínia"
 PROVINCE368CATALAN:0 "Òrcades"
 PROVINCE373CATALAN:0 "Dublín"
 PROVINCE1247CATALAN:0 "Còrsega"
 PROVINCE1744CATALAN:0 "Antuèrpia"
 PROVINCE1760CATALAN:0 "Coblença"
 PROVINCE1764CATALAN:0 "Burgàs"
 PROVINCE1767CATALAN:0 "Eslavònia"
 PROVINCE1934CATALAN:0 "Lucània"
 PROVINCE1979CATALAN:0 "Fèroe"
 PROVINCE1851CATALAN:0 "Coïmbra"
 PROVINCE1878CATALAN:0 "Aquisgrà"
 PROVINCE2750CATALAN:0 "Plòvdiv"
 PROVINCE2975CATALAN:0 "Clèveris"
 PROVINCE2986CATALAN:0 "Càller"
 PROVINCE4112CATALAN:0 "Carcí"
 PROVINCE4391CATALAN:0 "Vivarès"
 PROVINCE4528CATALAN:0 "Cuiàvia"
 PROVINCE4696CATALAN:0 "Toló"
 PROVINCE4727CATALAN:0 "Saluça"
 PROVINCE4729CATALAN:0 "Pàdua"
 PROVINCE4736CATALAN:0 "Tràpani"
 PROVINCE4739CATALAN:0 "Bèrgam"
 PROVINCE1986CATALAN:0 "Nova Caledònia"
 PROVINCE4379IRISH:0 "Uí Failghe"
 PROVINCE4365IRISH:0 "Oileán Mhanann"
 PROVINCE239IRISH:0 "Cúntóir"
 PROVINCE4374IRISH:0 "Tiomnaíonn"
 PROVINCE235IRISH:0 "Cloch Tíre"
 PROVINCE238IRISH:0 "Ó Dheas"
 PROVINCE4370IRISH:0 "Éagobhsaí"
 PROVINCE1861IRISH:0 "Pháirc An Cheobhráin"
 CANNOT_MIGRATE_COOLDOWN:0 "Неможливо знову мігрувати до $DATE|Y$"
 cb_force_tributary_mission:0 "Force Tributary State"
 cb_force_tributary_mission_desc:0 "Ми змусимо їх стати державою-данником."
 take_capital_force_tributary:0 "Заволодіти столицею"
 take_capital_force_tributary_desc:0 "Мета війни - заволодіти столицею."
 SUBJECT_EFFECTS_TOOLTIP:0 "І такі ефекти для держав, які є $SUBJECTTYPE|Y$:"
 MAPMODE_GREAT_PROJECTS:0 "Великі проєкти"
 MAPMODE_GREAT_PROJECTS_DESC:0 "Показує, де розташовані великі проєкти. Чим яскравіше зелений, тим пишніше Великий проєкт (проєкти) у цьому місці."
 MAPMODE_GREAT_PROJECTS_TT:0 "У провінції $PROVINCE|Y$ розташовано такі великі проекти:"
 MAPMODE_GREAT_PROJECTS_TT_ENTRY:0 "$GREATPROJECT|Y$: $TIERDESC$"
 MAPMODE_GREAT_PROJECTS_TT_NONE:0 "У провінції $PROVINCE|Y$ нема великих проектів."
 GREAT_PROJECT_DESTROYED:0 "Зруйновано $DATE$"
 MAY_DRILL:0 "Можна муштрувати армії"
 MAY_DRILL_SHORT:0 "Можна муштрувати"
 EStopMissionReason_TechDoesntAllowIt:0 "У вас нема необхідної технології."
 COASTAL_SEA_DESC:0 "Це узбережжя, тут галери будуть трохи ефективніше, завдаючи на 50% більше шкоди в бою проти інших кораблів, які не є галерами."
 MAPMODE_RELIGIOUS_LEAGUES:0 "Релігійні ліги"
 MAPMODE_RELIGIOUS_LEAGUES_DESC:0 "Показує, до якої релігійної ліги належать країни. Зелені країни належать до релігійної ліги СРІ, а блакитні - до єретичної."
 LEAGUE_MEMBER_DESC:0 "Держава $COUNTRY|Y$ входить до релігійної ліги СРІ"
 federation_cohesion_maxed_out_instant:0 "§YЗгуртованість федерації досягла максимального значення.§!"
 federation_cohesion_maxed_out_delayed:0 "Клацніть, щоб переглянути свою федерацію і можливі покращення."
 PEACEOFFER_TRADING_CITIES_CANNOT_TAKE_PROVINCES:0 "Торгові міста не можуть захоплювати провінції."
 PEACEOFFER_TRADING_CITIES_CANNOT_HAVE_SUBJECTS:0 "Торгові міста не можуть мати суб'єктів."
 FREE_POLICY_EXPLANATION:0 "Ця політика буде доступна безкоштовно."
 TUT_ADV_CHAPTER01_PAGE04a_TITLE:0 "Корупція"
